;;;;;
Historico Aportes Diario 2015;;;;;
;;;;;
Fecha;Region Hidrologica;Nombre Rio;Aportes Caudal m3/s;Aportes Energia kWh;Aportes %
2015-01-10;ANTIOQUIA;CONCEPCION;4,23;1.155.300,00;82,52%
2015-01-10;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);5,56;1.518.900,00;69,36%
2015-01-10;ANTIOQUIA;DESV. MANSO;0,00;;
2015-01-10;ANTIOQUIA;GRANDE;16,64;5.217.200,00;71,08%
2015-01-10;ANTIOQUIA;GUADALUPE;14,29;3.903.000,00;102,71%
2015-01-10;ANTIOQUIA;GUATAPE;8,95;1.510.900,00;36,94%
2015-01-10;ANTIOQUIA;MIEL I;34,76;1.676.300,00;40,39%
2015-01-10;ANTIOQUIA;NARE;14,35;5.070.200,00;39,15%
2015-01-10;ANTIOQUIA;PORCE II;30,52;3.885.700,00;54,27%
2015-01-10;ANTIOQUIA;PORCE III;1,92;141.800,00;9,45%
2015-01-10;ANTIOQUIA;SAN CARLOS;18,74;2.463.700,00;105,74%
2015-01-10;ANTIOQUIA;TENCHE;2,53;692.000,00;94,79%
2015-01-10;CARIBE;SINU URRA;87,78;934.100,00;51,89%
2015-01-10;CENTRO;AMOYA;5,74;669.800,00;42,13%
2015-01-10;CENTRO;BOGOTA N.R.;0,54;214.800,00;6,12%
2015-01-10;CENTRO;MAGDALENA BETANIA;149,93;2.244.300,00;52,68%
2015-01-10;CENTRO;PRADO;9,65;113.500,00;20,64%
2015-01-10;CENTRO;SOGAMOSO;183,19;5.736.100,00;89,63%
2015-01-10;ORIENTE;BATA;11,64;1.958.600,00;73,91%
2015-01-10;ORIENTE;CHUZA;1,57;624.500,00;55,76%
2015-01-10;ORIENTE;GUAVIO;14,31;3.345.700,00;79,28%
2015-01-10;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;1.816.500,00;56,06%
2015-01-10;VALLE;ALTOANCHICAYA;13,20;1.405.400,00;30,75%
2015-01-10;VALLE;CALIMA;4,94;222.100,00;44,42%
2015-01-10;VALLE;CAUCA SALVAJINA;65,59;1.554.800,00;39,66%
2015-01-10;VALLE;DIGUA;12,33;157.500,00;47,73%
2015-01-10;VALLE;FLORIDA II;7,20;144.000,00;110,77%
2015-01-11;ANTIOQUIA;A. SAN LORENZO;17,83;4.076.300,00;73,31%
2015-01-11;ANTIOQUIA;CONCEPCION;4,72;1.290.200,00;92,16%
2015-01-11;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);5,31;1.450.600,00;66,24%
2015-01-11;ANTIOQUIA;DESV. MANSO;0,00;;
2015-01-11;ANTIOQUIA;GRANDE;14,02;4.396.200,00;59,89%
2015-01-11;ANTIOQUIA;GUADALUPE;13,92;3.801.300,00;100,03%
2015-01-11;ANTIOQUIA;GUATAPE;13,71;2.316.100,00;56,63%
2015-01-11;ANTIOQUIA;MIEL I;33,18;1.599.800,00;38,55%
2015-01-11;ANTIOQUIA;NARE;26,99;9.536.800,00;73,64%
2015-01-11;ANTIOQUIA;PORCE II;54,74;6.968.200,00;97,32%
2015-01-11;ANTIOQUIA;PORCE III;0,49;36.100,00;2,41%
2015-01-11;ANTIOQUIA;SAN CARLOS;18,44;2.423.500,00;104,01%
2015-01-11;ANTIOQUIA;TENCHE;2,60;711.400,00;97,45%
2015-01-11;CARIBE;SINU URRA;86,56;921.100,00;51,17%
2015-01-11;CENTRO;AMOYA;5,65;659.400,00;41,47%
2015-01-11;CENTRO;BOGOTA N.R.;0,00;;
2015-01-11;CENTRO;MAGDALENA BETANIA;158,74;2.376.100,00;55,78%
2015-01-11;CENTRO;PRADO;10,24;120.400,00;21,89%
2015-01-11;CENTRO;SOGAMOSO;173,52;5.433.500,00;84,90%
2015-01-11;ORIENTE;BATA;12,27;2.064.600,00;77,91%
2015-01-11;ORIENTE;CHUZA;3,24;1.288.700,00;115,06%
2015-01-11;ORIENTE;GUAVIO;16,26;3.801.600,00;90,09%
2015-01-11;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.047.100,00;63,18%
2015-01-11;VALLE;ALTOANCHICAYA;12,78;1.360.600,00;29,77%
2015-01-11;VALLE;CALIMA;3,20;143.900,00;28,78%
2015-01-11;VALLE;CAUCA SALVAJINA;63,34;1.501.500,00;38,30%
2015-01-11;VALLE;DIGUA;12,01;153.400,00;46,48%
2015-01-11;VALLE;FLORIDA II;7,20;144.000,00;110,77%
2015-01-12;ANTIOQUIA;A. SAN LORENZO;17,67;4.039.100,00;72,65%
2015-01-12;ANTIOQUIA;CONCEPCION;4,65;1.269.200,00;90,66%
2015-01-12;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);5,19;1.417.800,00;64,74%
2015-01-12;ANTIOQUIA;DESV. MANSO;0,00;;
2015-01-12;ANTIOQUIA;GRANDE;15,82;4.959.700,00;67,57%
2015-01-12;ANTIOQUIA;GUADALUPE;11,11;3.035.300,00;79,88%
2015-01-12;ANTIOQUIA;GUATAPE;18,08;3.053.800,00;74,67%
2015-01-12;ANTIOQUIA;MIEL I;31,72;1.529.500,00;36,86%
2015-01-12;ANTIOQUIA;NARE;22,24;7.858.300,00;60,68%
2015-01-12;ANTIOQUIA;PORCE II;41,82;5.324.000,00;74,36%
2015-01-12;ANTIOQUIA;PORCE III;2,79;205.800,00;13,72%
2015-01-12;ANTIOQUIA;SAN CARLOS;19,44;2.555.100,00;109,66%
2015-01-12;ANTIOQUIA;TENCHE;1,85;505.900,00;69,30%
2015-01-12;CARIBE;SINU URRA;82,82;881.300,00;48,96%
2015-01-12;CENTRO;AMOYA;5,59;653.200,00;41,08%
2015-01-12;CENTRO;BOGOTA N.R.;9,60;3.818.400,00;108,79%
2015-01-12;CENTRO;MAGDALENA BETANIA;202,22;3.027.000,00;71,06%
2015-01-12;CENTRO;PRADO;5,98;70.300,00;12,78%
2015-01-12;CENTRO;SOGAMOSO;164,04;5.136.400,00;80,26%
2015-01-12;ORIENTE;BATA;12,05;2.027.600,00;76,51%
2015-01-12;ORIENTE;CHUZA;2,70;1.073.900,00;95,88%
2015-01-12;ORIENTE;GUAVIO;15,58;3.642.700,00;86,32%
2015-01-12;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;2.102.100,00;64,88%
2015-01-12;VALLE;ALTOANCHICAYA;13,48;1.435.200,00;31,40%
2015-01-12;VALLE;CALIMA;2,32;104.300,00;20,86%
2015-01-12;VALLE;CAUCA SALVAJINA;69,71;1.652.500,00;42,16%
2015-01-12;VALLE;DIGUA;11,77;150.300,00;45,55%
2015-01-12;VALLE;FLORIDA II;8,41;168.200,00;129,38%
2015-01-13;ANTIOQUIA;A. SAN LORENZO;21,55;4.926.900,00;88,61%
2015-01-13;ANTIOQUIA;CONCEPCION;4,59;1.254.200,00;89,59%
2015-01-13;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);5,21;1.423.300,00;64,99%
2015-01-13;ANTIOQUIA;DESV. MANSO;4,35;209.900,00;40,37%
2015-01-13;ANTIOQUIA;GRANDE;13,12;4.114.000,00;56,05%
2015-01-13;ANTIOQUIA;GUADALUPE;13,54;3.699.200,00;97,35%
2015-01-13;ANTIOQUIA;GUATAPE;17,29;2.919.800,00;71,39%
2015-01-13;ANTIOQUIA;MIEL I;51,48;2.482.200,00;59,81%
